brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price,zscore_price
lenovo,Yoga 9 2021,I7G11,144.0,Iris Xe,16.0,512.0,0.0,14.0,Touch,198000,0.7439135112388894
lenovo,ThinkPad E14,I5G10,144.0,Intel UHD,8.0,0.0,1024.0,14.0,fhd,108800,-0.5981545087201801
lenovo,ThinkPad E14,I7G10,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,138800,-0.14678634057251091
lenovo,ThinkPad L13 Yoga,I5G10,144.0,Intel UHD,8.0,256.0,0.0,13.0,fhd,135000,-0.20395964187121568
lenovo,ThinkPad T14,I5G10,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,144000,-0.06854919142691496
lenovo,ThinkPad T490,I5G10,144.0,Intel UHD,8.0,256.0,0.0,14.0,fhd,145000,-0.05350358582199265
lenovo,Thinkpad X13,ryzen5,144.0,Radeon,16.0,256.0,0.0,13.0,fhd,143000,-0.08359479703183725
lenovo,TinkPad X390,I5G10,144.0,Intel UHD,8.0,256.0,0.0,13.0,fhd,159000,0.1571348926469196
lenovo,ThinkPad X1 Carbon 2020,I5G10,144.0,Intel UHD,8.0,256.0,0.0,13.0,fhd,179000,0.45804700474536564
lenovo,ThinkPad X1 Carbon 2020,I5G10,144.0,Intel UHD,16.0,512.0,0.0,13.0,fhd,198000,0.7439135112388894
lenovo,Legion 5,ryzen5,120.0,RTX 2060,8.0,512.0,0.0,16.0,fhd,154800,0.09394334910624592
lenovo,Legion 5,ryzen5,120.0,RTX 2060,16.0,512.0,0.0,16.0,fhd,160800,0.18421698273577974
lenovo,Legion 5,I7,120.0,GTX 1650,8.0,256.0,0.0,16.0,fhd,150000,0.021724442202618866
lenovo,Legion 5,I7,120.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,170800,0.33467303878500276
lenovo,Legion 5,I7,120.0,RTX 2060,16.0,512.0,0.0,16.0,fhd,190800,0.6355851508834488
lenovo,Legion 5i,I7G10,120.0,GTX 1650 Ti,8.0,512.0,0.0,16.0,fhd,142800,-0.08660391815282172
lenovo,Legion 5i,I7G10,120.0,GTX 1660 Ti,8.0,512.0,1024.0,16.0,fhd,154800,0.09394334910624592
lenovo,Legion 5i,I7G10,144.0,RTX 2060,16.0,256.0,0.0,16.0,fhd,184800,0.545311517253915
lenovo,Legion 5i,I7G10,240.0,RTX 2060,16.0,512.0,0.0,16.0,fhd,195000,0.6987766944241225
lenovo,Legion 7i,I7G10,144.0,RTX 2070 Super Max-Q,16.0,1024.0,0.0,16.0,fhd,238800,1.3577742199197194
apple,MacBook Air,m1,144.0,Intel,8.0,256.0,0.0,13.0,fhd,159500,0.16465769544938075
apple,MacBook Air,m1,144.0,Intel,8.0,512.0,0.0,13.0,fhd,203000,0.8191415392635009
apple,MacBook Pro 13,m1,144.0,Intel,8.0,256.0,0.0,13.0,fhd,205000,0.8492327504733456
apple,MacBook Pro 13,m1,144.0,Intel,8.0,512.0,0.0,13.0,fhd,240000,1.3758289466456262
apple,MacBook Pro 13,m1,144.0,Intel,16.0,256.0,0.0,13.0,fhd,240000,1.3758289466456262
apple,MacBook Pro 13,m1,144.0,Intel,16.0,512.0,0.0,13.0,fhd,275000,1.9024251428179066
msi,msi Stealth 15M,I7G11,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,229000,1.2103272849914808
msi,msi Stealth 15M,I7G11,144.0,RTX 2060 Max Q,16.0,512.0,0.0,16.0,fhd,239000,1.3607833410407038
msi,msi GS66 Stealth 10SE Thin,I7G10,144.0,RTX 2060,16.0,512.0,0.0,16.0,fhd,265000,1.7519690867686837
msi,msi GS66 Stealth 10SD Thin,I7G10,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,255000,1.6015130307194607
msi,msi GS66 Stealth 10SFS Thin,I7G10,144.0,RTX 2070,32.0,1024.0,0.0,16.0,fhd,386000,3.5724873649642825
msi,msi GE66 Raider 10SF,I7G10,144.0,RTX 2070,16.0,1024.0,0.0,16.0,fhd,306000,2.368838916570498
msi,msi GE76 Raider 10UG,I7G10,144.0,RTX 3070,16.0,2048.0,0.0,16.0,fhd,320000,2.5794773950394103
msi,msi GE76 Raider 10UH,I7G10,144.0,RTX 3070,32.0,2048.0,0.0,16.0,fhd,350000,3.0308455631870794
msi,msi GP65 Leopard 10SDK,I7G10,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,205000,0.8492327504733456
msi,msi GP66 Leopard 10UE,I7G10,144.0,RTX 3060,16.0,1024.0,0.0,16.0,fhd,259000,1.66169545313915
msi,msi GP67 Leopard 10UE,I7G10,144.0,RTX 3060,16.0,1024.0,0.0,16.0,fhd,259000,1.66169545313915
msi,msi GL75 Leopard 10SDR,I7G10,144.0,GTX 1660 Ti,16.0,512.0,0.0,16.0,fhd,189000,0.6085030607945887
msi,msi GL75 Leopard 10SFK,I7G10,144.0,RTX 2070,8.0,512.0,1024.0,16.0,fhd,250000,1.5262850026948491
msi,msi GF63 Thin 10SCXR,I7G10,144.0,GTX 1650,8.0,512.0,0.0,16.0,fhd,137000,-0.17386843066137106
msi,msi GF65 Thin 10SDR,I5G10,120.0,GTX 1660 Ti,8.0,1024.0,0.0,16.0,fhd,145000,-0.05350358582199265
msi,msi GF65 10SDR,I7G10,144.0,GTX 1660 Ti,8.0,1024.0,0.0,16.0,fhd,175000,0.39786458232567645
msi,msi GF65 10UE,I5G10,144.0,RTX 3060,16.0,512.0,0.0,16.0,fhd,198000,0.7439135112388894
msi,msi GF65 10UE,I7G10,144.0,RTX 3060,16.0,512.0,0.0,16.0,fhd,220000,1.07491683454718
msi,msi Bravo 15  A4DDR,I7,144.0,Radeon RX,8.0,1024.0,0.0,16.0,fhd,155000,0.09695247022723039
msi,msi Creator 15 A10SF,I7G10,144.0,RTX 2070,32.0,512.0,0.0,16.0,4k,360000,3.1813016192363026
msi,msi Creator 15 A10SFS,I7G10,144.0,RTX 2070,32.0,512.0,0.0,16.0,4k,418000,4.053946744321796
msi,msi Prestige 14 Evo,I5G11,144.0,Iris Xe,16.0,512.0,0.0,16.0,fhd,173000,0.3677733711158318
msi,msi Prestige 14 Evo,I7G11,144.0,Iris Xe,16.0,512.0,0.0,16.0,fhd,193000,0.6686854832142779
msi,msi Prestige 15 A11SC,I7G11,144.0,GTX 1650 Ti,16.0,512.0,0.0,16.0,fhd,241000,1.3908745522505483
msi,msi Modern 15 A10M,I5G10,144.0,Intel ,8.0,512.0,0.0,16.0,uhd,110000,-0.5800997819942733
msi,msi Modern 14 B11SB,I5G11,144.0,MX450,8.0,512.0,0.0,14.0,fhd,135000,-0.20395964187121568
msi,msi Modern 14 B11SB,I7G11,144.0,MX450,8.0,512.0,0.0,14.0,fhd,147000,-0.023412374612148044
msi,msi Modern 15 A11SB,I5G11,144.0,MX450,8.0,512.0,0.0,16.0,fhd,137000,-0.17386843066137106
