brandname,model,cpucore,refreshrate,gpu,ram,ssd,rom,display,displayquality,price
hp,Pavilion 14 c360m,Core i5-1135G7,,Intel UHD,8,256,,14,FHD Touch,110000
hp,Pavilion X360 2020,Core i5-1135G7,,Iris Xe,8,512,,14,FHD Touch,115000
hp,Pavilion 15,Ryzen 5 4500H,,Radeon,8,512,,15.6,FHD,99990
hp,Pavilion Power 15 2020,Ryzen 5 4600H,,GTX 1650,8,256,,15.6,FHD,108000
hp,Pavilion 15 Gaming,Ryzen 5 4600H,,GTX 1650,4,256,,15.6,FHD,106800
hp,Pavilion 15 Gaming,Core i5-10300H,,GTX 1660 Ti,8,512,,15.6,FHD,134800
hp,Pavilion 16 Gaming,Core i7-10750H,144,GTX 1650 Ti,8,512,,16.1,FHD,146800
hp,Envy 13,Core i5-1135G7,,Iris Xe,8,256,,13.3,FHD,114990
hp,Envy 13,Core i5-1135G7,,Iris Xe,8,256,,13.3,FHD,120000
hp,Envy 13,Core i7-1165G7,,Iris Plus,8,512,,13.3,4K Touch,148000
hp,Envy x360 2020,Core i7-1165G7,,Iris Xe,8,512,,13.3,FHD,140000
hp,hp Omen 15,Ryzen 7 4800H,,GTX 1660 Ti,8,512,,15.6,FHD,160000
hp,hp Omen 15,Ryzen 7 4800H,,GTX 1660 Ti,16,1024,,15.6,FHD,175000
hp,hp Spectre 13 x360,Core i5-1035G4,,Iris Plus,8,256,,13.3,FHD Touch,142000
hp,hp Spectre 13 x360,Core i7-1065G7,,Iris Plus,8,512,,13.3,FHD Touch,185000
hp,hp Spectre 15 x360,Core i7-10510U,,MX250,16,512,,15.6,4K Touch,225000
lenovo,V14-IIL 8C24,Core i5-1035G1,,Intel UHD,4,,1024,14,HD,82000
lenovo,IdeaPad S145,Core i3-1005G1,,Intel UHD,4,,1024,14,HD,59800
lenovo,IdeaPad S540,Core i7-10510U,,Intel UHD,8,256,,13.3,QHD,119990
lenovo,IdeaPad S540,Core i7-10510U,,Intel UHD,16,512,,13.3,QHD,129990
lenovo,IdeaPad 3,Core i5-1035G1,,Intel UHD,8,512,,14,FHD,75990
lenovo,IdeaPad 5 2020,Core i5-1035G1,,Intel UHD,8,256,,14,FHD,85000
lenovo,IdeaPad Flex 5,Ryzen 3 4300U,,Radeon,4,256,,14,FHD,74000
lenovo,IdeaPad Slim 7,Core i7-1065G7,,MX350,16,512,,14,FHD,134990
lenovo,IdeaPad Gaming 3,Ryzen 7 4800H,,GTX 1650 Ti,8,256,1024,15.6,FHD,139000
