dell,Inspirion 3501,i5 11th Gen,,Nvidia MX330 2GB,8,256,,15.6,fhd,94000
dell,Inspiron 5391,i5 10th Gen,,,8,256,,13.3,fhd,103000
dell,G3 G3590,i5 9th Gen,,GTX 1650,8,512,,15.6,fhd,108000
dell,Vostro 3500,i7 11th Gen,,Nvidia MX330,8,512,,15.6,fhd touch,112000
dell,Inspiron 7490,i5 10th Gen,,,8,256,,14,fhd,118000
dell,Inspiron 7391,i5 10th Gen,,,8,256,,13.3,fhd touch,118000
dell,Inspiron 7300 2-in-1,i5 10th Gen,,,8,512,,13.3,fhd,119000
dell,Inspiron 7490,i7 10th Gen,,,8,512,,14,fhd touch,120000
dell,Inspiron 5400 2-in-1,i7 10th Gen,120,,8,512,,14,fhd,121000
dell,G3 G3500 i5,10th Gen,,NVIDIA GTX 1650TI,8,512,,15.6,fhd,125000
dell,Inspiron 7490,i5 10th Gen,,NVIDIA MX250,8,512,,14,fhd,125000
dell,G3 G3500,i5 10th Gen,,NVIDIA GTX 1660TI,16,512,,15.6,fhd touch,135000
dell,Inspiron 7405 2-in-1,Ryzen 7 4700U,,,16,512,,14,fhd,135000
dell,XPS 13 7390,i5 10 GEN,,,8,256,,13.3,fhd,140000
dell,Inspiron 7391,i7 10th Gen,,NVIDIA MX250,8,512,,13.3,fhd,148000
dell,Inspiron 7591,i7 9th Gen,,GTX 1650 Graphics Card,16,512,,15.6,fhd,155000
dell,G3 G3590,i7 9th Gen,,NVIDIA GTX 1660Ti,16,256,1024,15.6,fhd,156000
dell,Inspiron 7490,i7 10th Gen,144,NVIDIA MX250 Graphics,16,512,,14,fhd,156000
dell,G5 15 SE 2020 Gaming Laptop,Ryzen 7 4800H,,AMD RX 5600M 6144MB,8,512,,15.6,4k touch,158000
dell,Inspiron 7391 2-in-1,i7 10th Gen,,,16,512,,13.3,fhd,160000
dell,Vostro 7500,i7 10th Gen,,GTX 1650ti Graphics Card,16,1024,,15.6,fhd,175000
dell,XPS 13 7390,i7 10th Gen,,,16,512,,13.3,fhd,185000
dell,XPS 15 7590,i7 9TH GEN,,GTX 1650,16,256,,15.6,4k uhd touch,195000
dell,XPS 13 7390,i7 10 GEN,,,16,512,,13.3,fhd touch,200000
dell,XPS 13 7390 2-in-1,i7 10 Gen,300,,16,512,,13.4,fhd,200000
dell,Alienware M15 R3,i7 10th Gen,,RTX 2070 SUPER,16,512,,15.6,fhd touch,310000
hp,ProBook 11 G3 EE x360 2-in-1,Celeron Dual-Core,,,4,128,,11.6,hd,47000
hp,Notebook 14-CF3065TU,i3 10th Gen,,,4,,1024,14,hd,59000
hp,Notebook 14-DK1025WM,Ryzen 3 3300U,,8GB RAM,,256,,14,hd,60000
hp,Pavilion X360,i3 10th Gen,,,8,128,,14,hd,72000
hp,Notebook 14-DQ1059,i5 10th Gen,,,8,256,,14,hd,79000
hp,Laptop 15-dy2045nr,i5 11th Gen,,,8,256,,15.6,fhd,88000
hp,Notebook 14-CE3056TX,i5 10th Gen,,NVIDIA MX130,4,,1024,14,fhd,89000
hp,Pavilion 15-EH0090,Ryzen 5 4500U,,AMD VEGA 8,8,512,,15.6,hd,97000
hp,Laptop 15s-du2045TX,i7 10th Gen,,NVIDIA MX330 2GB,8,,1024,15.6,fhd,105000
hp,Pavilion Power 15 2020,Ryzen 5 4600H,,GTX 1650,8,256,,15.6,fhd touch,108000
