,refreshrate,ram,ssd,rom,display,price,brandname_encoded,model_encoded,cpucore_I3,cpucore_I5,cpucore_I7,cpucore_I9,cpucore_ce,cpucore_m1,cpucore_pe,cpucore_ry,gpu_encoded,displayquality_4k,displayquality_4k_touch,displayquality_WQXGA,displayquality_fhd,displayquality_fhd_touch,displayquality_hd,displayquality_ips,displayquality_qhd,displayquality_retina,displayquality_uhd
61,144,16,512,0,16,161000,2,133,0,0,1,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
62,144,16,512,0,16,148000,2,112,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
63,144,16,512,0,16,168800,2,112,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
64,300,16,1024,0,16,410000,2,112,0,0,0,0,0,0,0,1,31,0,0,0,1,0,0,0,0,0,0
65,120,16,512,0,14,200000,2,157,0,0,1,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
66,60,4,0,1024,16,58750,4,76,1,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0
67,144,4,0,1024,16,86235,4,76,0,1,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0
68,144,8,256,0,13,102000,4,76,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
69,144,8,256,0,13,103000,4,76,0,1,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
70,144,8,512,0,13,126270,4,76,0,1,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0
71,144,8,512,0,13,140490,4,76,0,0,1,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0
72,144,8,512,0,14,126380,4,76,0,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0
73,144,8,512,0,14,135835,4,76,0,1,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0
74,144,8,512,0,14,154455,4,76,0,0,1,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0
75,144,8,256,0,16,120000,4,76,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
76,144,8,512,0,16,113905,4,76,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
77,144,8,512,0,16,95000,4,76,0,1,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0
78,144,8,512,0,13,161405,4,76,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
79,144,16,512,0,13,189905,4,76,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0
80,144,8,256,0,13,118000,4,76,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
81,144,8,512,0,13,120000,4,76,0,1,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0
82,144,8,256,0,13,148000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
83,144,16,512,0,13,157000,4,76,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0
84,144,8,256,0,14,118000,4,76,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
85,144,8,512,0,14,120000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
86,144,8,256,0,14,125000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
87,144,8,512,0,14,125000,4,76,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
88,144,16,512,0,14,156000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
89,144,16,1024,0,16,175000,4,76,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
90,144,8,512,0,16,125000,4,38,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0
91,144,16,512,0,16,135000,4,38,0,1,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0
92,144,8,512,0,16,205105,4,40,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0
93,144,16,1024,0,16,242250,4,40,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0
94,144,8,512,0,16,152800,4,40,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
95,144,8,512,0,16,158000,4,40,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
96,144,16,512,0,16,158800,4,40,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
97,144,16,512,0,16,237500,4,45,0,0,1,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0
98,300,16,512,0,16,310000,4,18,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0
99,60,4,0,1024,14,60000,4,146,1,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0
100,144,4,0,1024,14,77500,4,146,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0
101,60,4,0,1024,14,57500,4,146,1,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0
102,144,4,0,1024,14,60040,4,146,1,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0
