brandname,model,cpucore,clock,gpu,ram,ssd,rom,display,displayquality,price
Apple,MacBook Pro 13,M1,,,16GB,256GB,,,,240000
Apple,MacBook Pro 13,M1,,,16GB,512GB,,,,275000
Apple,MacBook Pro 13,Early 2020,,,16GB,512GB,,,,265000
Apple,MacBook Pro 13,Early 2020,,,16GB,1024GB,,,,295000
Apple,MacBook Pro 16,Core i7,,,,1024GB,,,,345000
Apple,MacBook Pro 16,Core i9,,,,1024GB,,,,398000
MSI,MSI Stealth 15M,Core-i7-1185G7,,GTX 1660 Ti,16GB,512GB,,,,229000
MSI,MSI Stealth 15M,Core-i7-1185G7,,RTX 2060 Max Q,16GB,512GB,,,,239000
MSI,MSI GS66 Stealth 10SE Thin,Core-i7-10750H,,RTX 2060,16GB,512GB,,,,265000
MSI,MSI GS66 Stealth 10SD Thin ,Core-i7-10750H,,GTX 1660 Ti,16GB,512GB,,,,255000
MSI,MSI GS66 Stealth 10SFS Thin,Core-i7-10750H,,RTX 2070 Super Max-Q,32GB,1024GB,,,,386000
MSI,MSI GE66 Raider 10SF,Core-i7-10750H,,RTX 2070,16GB,1024GB,,,,306000
MSI,MSI GE76 Raider 10UG,Core-i7-10870H,,RTX 3070,16GB,2048GB,,,,320000
MSI,MSI GE76 Raider 10UH,Core-i7-10870H,,RTX 3070,32GB,2048GB,,,,350000
MSI,MSI GP65 Leopard 10SDK,Core-i7-10750H,,GTX 1660 Ti,16GB,512GB,,,,205000
MSI,MSI GP66 Leopard 10UE,Core-i7-10870H,,RTX 3060,16GB,1024GB,,,,259000
MSI,MSI GP67 Leopard 10UE,Core-i7-10870H,,RTX 3060,16GB,1024GB,,,,259000
MSI,MSI GL75 Leopard 10SDR,i7-10750H,144Hz,GTX 1660 Ti,16GB,512GB,,,,189000
MSI,MSI GL75 Leopard 10SFK,i7-10750H,144Hz,RTX 2070 Super,8GB,512GB,1024GB,,,250000
MSI,MSI GF63 Thin 10SCXR,i7-10750H,,GTX 1650 Max-Q,8GB,512GB,,,,137000
MSI,MSI GF65 Thin 10SDR,i5-10300H,120Hz,GTX 1660 Ti,8GB,1024GB,,,,145000
MSI,MSI GF65 10SDR,i7-10750H,144Hz,GTX 1660 Ti,8GB,1024GB,,,,175000
MSI,MSI GF65 10UE,i5-10300H,144Hz,RTX 3060,16GB,512GB,,,,198000
MSI,MSI GF65 10UE,i7-10750H,144Hz,RTX 3060,16GB,512GB,,,,220000
MSI,MSI Bravo 15  A4DDR,Ryzen 7 4800H,,Radeon RX 5500M,8GB,1024GB,,,,155000
MSI,MSI Creator 15 A10SF,i7-10875H,,RTX 2070 Max-Q,32GB,512GB,,,4K,360000
