Brand_name,Model,CPU_core,Clock,GPU,RAM,SSD,HDD,Display_Size,Display_quality,Price
HP ,Pavilion 15-EH0090 ,Ryzen 5 4500U ,, AMD VEGA 8 , 8GB RAM , 512GB SSD ,,15.6, FHD,97000
HP ,Laptop 15s-du2045TX ,i7 10th Gen ,,NVIDIA MX330 2GB, 8GB RAM ,, 1TB HDD ,15.6, HD,105000
HP ,Pavilion Power 15 2020, Ryzen 5 4600H ,, GTX 1650 , 8GB RAM , 256GB SSD ,,15.6, FHD,108000
HP ,Pavilion 15-EF1013, Ryzen 7 4700U ,, AMD Vega 8 , 8GB RAM , 512GB SSD ,,15.6, FHD Touch Display,112000
HP ,Pavilion X360 2020, i5 11th Gen ,,, 8GB RAM , 512GB SSD ,,14, FHD TouchScreen Display,115000
HP ,Envy 13 2021, i5 11th Gen ,,, 8GB RAM , 256GB SSD ,,13.3, FHD,120000
HP ,Envy x360 13M ,i7 11th Gen ,,, 8GB RAM , 512GB SSD ,,13.3, FHD 360 TouchScreen Display,140000
HP ,Spectre 13 x360 ,i5 10th Gen ,,, 8GB RAM , 256GB SSD ,,13.3, FHD 360 TouchScreen,142000
HP ,Envy 13 2020, i7 10th Gen ,,, 8GB RAM , 512GB SSD ,,13.3, 4K UHD TouchScreen Display,148000
HP ,Omen 15 2020, Ryzen 7 4800H ,, GTX 1660Ti , 8GB RAM, 512GGB SSD ,,15.6, FHD 144Hz,160000
HP ,Omen 15 2020 ,Ryzen 7 4800H ,, GTX 1660Ti , 16GB RAM, 1TB SSD ,,15.6, FHD 144Hz,175000
HP ,Spectre 13, i7 10TH GEN,,, 8GB RAM, 512GB SSD,,13.3, FHD 360 TOUCH,185000
HP ,Spectre 15 x360, i7 10TH GEN,, MX 250, 16GB RAM, 512GB SSD,,15.6, 4K 360,225000
MSI ,Modern 14 A10RB, i5 10th Gen ,,MX250 ,8GB RAM ,512GB SSD,,15.6,,122000
MSI ,Modern 15 A10RAS ,i5 10th Gen,, MX330, 8GB RAM ,512GB SSD,,15.6,,122000
MSI ,GF63 9SCSR ,i5 9th Gen,, GTX 1650Ti ,8GB RAM ,512GB SSD,,15.6,144Hz Display,135000
MSI ,Modern 14 A10RB ,i7 10th Gen,, MX250, 8GB RAM ,512GB SSD ,,15.6,,135000
MSI ,Modern 15 A10RAS ,i7 10th Gen,, MX330, 8GB RAM, 512GB SSD,,15.6,,135000
MSI ,GL65 9SCK, i5 9th Gen ,,GTX 1650 ,8GB RAM ,512GB SSD,,15.6,144Hz display,145000
MSI ,GF75 9SC ,i7 9th Gen,,GTX 1650 ,8GB RAM,128GB SSD, 1TB ,17.3, FHD,148000
MSI ,GF63 Thin 10SCXR ,i7 10th Gen ,,GTX 1650, 8GB RAM ,512GB SSD ,,15.6,,152000
MSI ,GL65 9SCK, i7 9th Gen ,,GTX 1650, 8GB RAM ,512GB SSD,,15.6,120Hz display,160000
MSI ,GF63 Thin 10SCSR ,i7 10th Gen, ,GTX 1650Ti, 8GB RAM ,512GB SSD ,,15.6,144Hz Display,162000
MSI ,GE 63VR Raider ,i7 8th Gen ,,GTX 1060 ,16GB RAM ,256GB SSD,1TB HDD ,15.6,,165000
MSI ,GF65 10SDR, i5 10th Gen ,,GTX 1660Ti, 8GB RAM ,512GB SSD ,,15.6,120Hz Display,168000
MSI ,GF65 9SD ,i7 9th Gen ,,GTX 1660Ti ,16GB RAM ,512GB SSD ,,15.6,120Hz display,170000
MSI ,Prestige 14 A10RAS Rose Pink ,i7 10th Gen,, MX330 ,16GB RAM ,512GB SSD ,,14,FHD,180000
MSI ,GF65 10SDR ,i7 10th Gen,, GTX 1660Ti, 8GB RAM, 512GB SSD,,15.6,FHD 144Hz Display,183000
MSI ,GL65 9SDK ,i7 9th Gen ,,GTX 1660Ti ,16GB RAM ,256GB SSD,1TB HDD ,15.6,FHD 120Hz display,185000
MSI ,GF65 10SDR ,i7 10th Gen ,,GTX 1660Ti, 16GB RAM ,512GB SSD ,,15.6, FHD 120Hz display,185000
